name,birth_year,death_year
"Lugovoi, A.",1853.0,1914.0
"Lüfberg, J.",,
"Ludwig, H.",,
"Ludwig II, Baieri kuningas",,
"Ludassi, J. von",,
"Löwenstein, Rudolf",1819.0,1891.0
"Lorm, Hieronymus",1821.0,1902.0
"Lönnrot, Elias",1802.0,1884.0
"Longfellow, Henry Wadsworth",1807.0,1882.0
Longfellow,,
"Lomonossov, Mihhail",1711.0,1765.0
"Logau, Friedrich von",1605.0,1655.0
"Löfberg, J.",,
"Livnheart, C.",,
"Lista, Alberto",1775.0,1848.0
Liselotte,,
Lionheart,,
"Linke, Grunert",,
"Lingg, Hermann",1820.0,1905.0
"Lindner, Ella",,
"Lindenberg, Paul",1859.0,1943.0
"Lindau, Paul",1839.0,1919.0
